"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"9530026P05Rik",NA,23,0.951790894045951,0.395878226191263,0.951790894045951,1.90505684036089,3.16301766992051,0.951790894045951,0.967935116593076,0.951790894045951
"Acta2",NA,31,0.903001370430671,0.965176197743174,0.903001370430671,1.20283098564337,1.88559072596263,0.951790894045951,0.98151367347844,0.951790894045951
"Actn1",NA,21,0.510704302891333,0.832988438893239,0.510704302891333,0.97387628367099,1.56200098364887,0.951790894045951,0.97389575157608,0.951790894045951
"Acyp2",NA,12,0.0451291372704414,0.701686307602331,0.0451291372704414,1.14189324514875,1.0051100387047,0.597560882155252,0.967935116593076,0.597560882155252
"Akap6",NA,21,0.666363173119469,0.951059393171991,0.666363173119469,1.14621061230477,1.82423202026116,0.951790894045951,0.98151367347844,0.951790894045951
"Aopep",NA,25,0.200067058042593,0.165036911557761,0.200067058042593,1.0180681342364,1.37083141034072,0.892634416158639,0.967935116593076,0.892634416158639
"Cacna1c",NA,28,0.915928582258744,0.385854415340528,0.915928582258744,1.03017286039452,1.41609363271108,0.951790894045951,0.967935116593076,0.951790894045951
"Cacna2d1",NA,19,0.601603842706832,0.833619063989344,0.601603842706832,1.64944089234444,2.30391812912938,0.951790894045951,0.97389575157608,0.951790894045951
"Cacnb2",NA,35,0.423163898104747,0.249123885183971,0.423163898104747,1.86835593132002,2.49767072724169,0.951790894045951,0.967935116593076,0.951790894045951
"Cald1",NA,34,0.72830379827514,0.660833156505088,0.72830379827514,0.926589470071386,1.40351701927685,0.951790894045951,0.967935116593076,0.951790894045951
"Carmn",NA,27,0.943339938266626,0.188416913352286,0.943339938266626,0.892884443012658,1.27455290497448,0.951790894045951,0.967935116593076,0.951790894045951
"Celf2",NA,15,0.536240779177939,0.590506577424955,0.536240779177939,1.20183681991196,1.9323882251108,0.951790894045951,0.967935116593076,0.951790894045951
"Clic4",NA,17,0.0604406786882295,0.474854020644246,0.0604406786882295,1.66790663416643,2.1551126541336,0.597560882155252,0.967935116593076,0.597560882155252
"Cobll1",NA,14,0.478964833022887,0.429880371435781,0.478964833022887,2.44565354051724,3.15205363767933,0.951790894045951,0.967935116593076,0.951790894045951
"Cped1",NA,26,0.573125648288842,0.179534596717116,0.573125648288842,1.05914408875586,1.84927350258471,0.951790894045951,0.967935116593076,0.951790894045951
"Crim1",NA,19,0.922150530230862,0.977610536744564,0.922150530230862,1.32496600948025,2.17828703742721,0.951790894045951,0.98151367347844,0.951790894045951
"Dip2c",NA,22,0.402773225898835,0.169661518550495,0.402773225898835,1.32048304266893,1.61237199240732,0.951790894045951,0.967935116593076,0.951790894045951
"Dlc1",NA,35,0.00626759091416315,0.43112830384842,0.00626759091416315,1.05804421105212,1.60331058929059,0.222499477452792,0.967935116593076,0.222499477452792
"Ebf1",NA,31,0.317427821402132,0.555271951568442,0.317427821402132,1.77864813283381,2.67220076321912,0.951723623348866,0.967935116593076,0.951723623348866
"Enah",NA,22,0.162117840905301,0.968125596238161,0.162117840905301,1.15153111847493,1.17723969523193,0.892634416158639,0.98151367347844,0.892634416158639
"Entpd1",NA,15,0.938900654999388,0.741589371941939,0.938900654999388,1.04060382037634,2.24486431214195,0.951790894045951,0.967935116593076,0.951790894045951
"Esyt2",NA,25,0.413889529356853,0.307941947652436,0.413889529356853,1.03623078394921,1.88029976183289,0.951790894045951,0.967935116593076,0.951790894045951
"Ext1",NA,20,0.780742771296198,0.909076200219386,0.780742771296198,1.38309129462243,2.00355990085694,0.951790894045951,0.98151367347844,0.951790894045951
"Fbxl17",NA,21,0.148929559198536,0.98151367347844,0.148929559198536,1.45535439455462,1.71447556346067,0.892634416158639,0.98151367347844,0.892634416158639
"Fry",NA,28,0.0933752915619647,0.49268789790654,0.0933752915619647,1.37432842206147,1.73301928239132,0.736627300099944,0.967935116593076,0.736627300099944
"Igf1r",NA,22,0.920656711327359,0.207075836258484,0.920656711327359,1.65413130911812,2.27098378341351,0.951790894045951,0.967935116593076,0.951790894045951
"Igfbp7",NA,18,0.741431303277263,0.59856279236626,0.741431303277263,1.41804499211769,2.03034564341956,0.951790894045951,0.967935116593076,0.951790894045951
"Irag1",NA,28,0.774283296823867,0.464855452092204,0.774283296823867,1.05022243009075,1.62958666830168,0.951790894045951,0.967935116593076,0.951790894045951
"Itga8",NA,17,0.469032172390241,0.787643450127079,0.469032172390241,1.27995366013476,1.92605723292953,0.951790894045951,0.97389575157608,0.951790894045951
"Itpr1",NA,24,0.773404443036835,0.178569448178697,0.773404443036835,1.28191473478074,2.10372085427904,0.951790894045951,0.967935116593076,0.951790894045951
"Kcnab1",NA,29,0.279019087350584,0.637931347928176,0.279019087350584,1.2763067083279,2.19978136464316,0.943350247709119,0.967935116593076,0.943350247709119
"Ldlrad4",NA,19,0.0626985079651722,0.962908709705541,0.0626985079651722,0.894083895435334,1.10844558135158,0.597560882155252,0.98151367347844,0.597560882155252
"Lhfpl6",NA,19,0.678797940381198,0.37751954830369,0.678797940381198,1.24936124768214,2.19286335694428,0.951790894045951,0.967935116593076,0.951790894045951
"Lncpint",NA,19,0.470761261068398,0.698989777768075,0.470761261068398,0.65413789296296,1.05866718902956,0.951790894045951,0.967935116593076,0.951790894045951
"Lpp",NA,33,0.836949056383662,0.543275677628583,0.836949056383662,0.87066687103325,1.31623482151899,0.951790894045951,0.967935116593076,0.951790894045951
"Luc7l2",NA,19,0.278918817574701,0.800923471087491,0.278918817574701,1.0073507660339,1.63619506021789,0.943350247709119,0.97389575157608,0.943350247709119
"Magi1",NA,20,0.915493674186034,0.581175807784199,0.915493674186034,1.22095008832262,2.1138912351828,0.951790894045951,0.967935116593076,0.951790894045951
"Malat1",NA,40,0.322880151489837,0.460444013648038,0.322880151489837,2.34783356815037,2.46213518995532,0.951723623348866,0.967935116593076,0.951723623348866
"Mast4",NA,39,0.212240414143078,0.724208021396531,0.212240414143078,1.81697533516988,2.52133737058535,0.892634416158639,0.967935116593076,0.892634416158639
"Msrb3",NA,25,0.220897676588639,0.819443166431694,0.220897676588639,1.27265560551921,2.40868275688823,0.892634416158639,0.97389575157608,0.892634416158639
"Myh11",NA,35,0.234531655174612,0.482935354895746,0.234531655174612,1.73179981445491,2.53584527614194,0.892634416158639,0.967935116593076,0.892634416158639
"Myocd",NA,17,0.677312139687253,0.74448706564227,0.677312139687253,1.54630955460478,2.97601270373624,0.951790894045951,0.967935116593076,0.951790894045951
"Myom1",NA,28,0.654429733130684,0.719821249616228,0.654429733130684,1.08029193446277,1.72479265695471,0.951790894045951,0.967935116593076,0.951790894045951
"Nfib",NA,21,0.067330803623127,0.952976851836775,0.067330803623127,0.9833277182345,1.4135646565834,0.597560882155252,0.98151367347844,0.597560882155252
"Pakap",NA,22,0.834232872445145,0.561220018285356,0.834232872445145,1.20146207684818,1.66658150088888,0.951790894045951,0.967935116593076,0.951790894045951
"Pbx1",NA,24,0.168286524716798,0.91841268685455,0.168286524716798,1.04787653114643,2.06686375691943,0.892634416158639,0.98151367347844,0.892634416158639
"Pcdh7",NA,17,0.948106516482103,0.847720265014521,0.948106516482103,1.33560999905541,2.21358341347555,0.951790894045951,0.97389575157608,0.951790894045951
"Pde1a",NA,19,0.721814699603537,0.623033943221432,0.721814699603537,1.27115897433231,1.81871036007651,0.951790894045951,0.967935116593076,0.951790894045951
"Pde3a",NA,30,0.863098914637253,0.452733967468733,0.863098914637253,1.70060716810623,2.37243396385021,0.951790894045951,0.967935116593076,0.951790894045951
"Pdlim5",NA,28,0.224258832183781,0.658473861877327,0.224258832183781,1.14456478721221,1.60866835468939,0.892634416158639,0.967935116593076,0.892634416158639
"Phldb2",NA,19,0.335113951883404,0.165625534170514,0.335113951883404,0.937094710077738,1.20106951197032,0.951723623348866,0.967935116593076,0.951723623348866
"Plce1",NA,20,0.237976680841876,0.348463739559651,0.237976680841876,0.824402415786444,1.36183286901073,0.892634416158639,0.967935116593076,0.892634416158639
"Plcl1",NA,26,0.80002705958058,0.404423604400955,0.80002705958058,1.60464547087591,2.4322707897362,0.951790894045951,0.967935116593076,0.951790894045951
"Ppm1l",NA,10,0.331648478086271,0.205366867841874,0.331648478086271,1.60513630736495,2.03915711587932,0.951723623348866,0.967935116593076,0.951723623348866
"Ppp1r12a",NA,32,0.757918764358475,0.592246653873915,0.757918764358475,1.03974800785077,1.66132040307202,0.951790894045951,0.967935116593076,0.951790894045951
"Prkg1",NA,33,1.18176986898944e-05,0.749808893135482,1.18176986898944e-05,1.42509026323338,1.64049469640942,0.000839056606982503,0.967935116593076,0.000839056606982503
"Rasal2",NA,23,0.0224855114058517,0.622275927548479,0.0224855114058517,0.884957228876068,1.19114993278086,0.399117827453868,0.967935116593076,0.399117827453868
"Rbpms",NA,36,0.798698779074044,0.50574343499185,0.798698779074044,1.79441271134841,2.42336304690393,0.951790894045951,0.967935116593076,0.951790894045951
"Rock1",NA,27,0.537986612161541,0.149326712348323,0.537986612161541,1.14826851499487,1.66441715787536,0.951790894045951,0.967935116593076,0.951790894045951
"Ror1",NA,17,0.946533039067786,0.850444177432633,0.946533039067786,1.56303460345436,2.36661583777096,0.951790894045951,0.97389575157608,0.951790894045951
"Samd4",NA,18,0.61537218391785,0.483485794946934,0.61537218391785,0.622454384565953,1.0563636121399,0.951790894045951,0.967935116593076,0.951790894045951
"Setbp1",NA,14,0.695350565462511,0.163153825530077,0.695350565462511,1.54619685689901,1.82599457699264,0.951790894045951,0.967935116593076,0.951790894045951
"Slc8a1",NA,33,0.728404786673392,0.00707231537631335,0.728404786673392,2.03543990570346,2.56105648014895,0.951790894045951,0.435014141262315,0.951790894045951
"Slit3",NA,24,0.899306631121395,0.303151723309286,0.899306631121395,1.18342976118751,1.89376073466349,0.951790894045951,0.967935116593076,0.951790894045951
"Sorbs2",NA,22,0.23887399869034,0.0649627425556608,0.23887399869034,0.94380399090385,1.65676353602106,0.892634416158639,0.967935116593076,0.892634416158639
"Sptbn1",NA,21,0.736729330611586,0.548366073712411,0.736729330611586,0.975877731535496,1.26116616685023,0.951790894045951,0.967935116593076,0.951790894045951
"Syne1",NA,16,0.495433813532472,0.517029998367624,0.495433813532472,1.07961489274009,1.57050521928581,0.951790894045951,0.967935116593076,0.951790894045951
"Synpo2",NA,34,0.720737566460409,0.150699327156147,0.720737566460409,1.14392494378292,1.64694203961712,0.951790894045951,0.967935116593076,0.951790894045951
"Tpm1",NA,23,0.740034920137023,0.438349987671879,0.740034920137023,1.66310222072866,2.30118086730731,0.951790894045951,0.967935116593076,0.951790894045951
"Utrn",NA,28,0.413341218557663,0.376037068511123,0.413341218557663,0.966794720441038,1.41032217281365,0.951790894045951,0.967935116593076,0.951790894045951
"Zfpm2",NA,26,0.0168755328642169,0.0122539194721779,0.0168755328642169,1.1484429833783,0.991090529370357,0.399117827453868,0.435014141262315,0.399117827453868
