celltype,condition,group_id,gene,estimate,se,z,p,padj,HDR
Fibroblast,F1_Aged,Fibroblast__F1_Aged,2610035D17Rik,-1.27629346590556,0.353015395031454,-3.61540455138462,4.096618684155e-4,0.07952783662935685,-3.387574458569274
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Abi1,1.39022561074059,0.157760467246663,8.81225591558968,2.20956275794767e-17,4.9328488571181735e-14,16.6556936587121
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Adgrl2,-1.35704727499571,0.318834298278271,-4.25627757842824,3.6227901084694e-5,0.014481948424450554,-4.440956826709067
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Bcar1,-1.70231440887611,0.467115094465626,-3.64431470754234,4.9887927865648e-4,0.08909983916804733,-3.302004534449352
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Cacna2d1,-0.736641425843328,0.147324246163557,-5.0001370787638,8.49998142589248e-7,9.488104266652482e-4,-6.070582023302321
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Cemip2,1.35242468440825,0.33524159629544,4.03417922881023,9.32726604668024e-5,0.024075236034873,4.030245635442861
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Cyp7b1,1.88706964893761,0.446180233779289,4.22938872247551,5.99820608846019e-5,0.01912999298926768,4.221978616678619
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Dpep1,0.944761324110034,0.223927911873416,4.2190422632266404,3.44755054247609e-5,0.014481948424450554,4.4624893581738485
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Ebf1,-0.357668107162384,0.0897323809969129,-3.98594245676696,7.54622337830348e-5,0.022462591589416697,-4.122270343247305
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Ece1,1.09548674349472,0.220438618591088,4.96957724783625,1.27640940620242e-6,0.001139833599738761,5.894010004034501
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Eprs1,0.988258087446555,0.213344520582928,4.63221687037616,5.62289554181808e-6,0.004184371432369621,5.250039984431799
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Fbxw8,-1.13950687583476,0.318774391817425,-3.57464998784282,4.721951442966e-4,0.08784797163684663,-3.325878483195528
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Frmd6,-0.783158666329508,0.201674642433642,-3.88327782253139,1.2732600547469e-4,0.02891185472374635,-3.8950828855787596
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Gramd1b,-1.6420776864909301,0.405700774788366,-4.04750936782786,9.70558227609662e-5,0.024075236034873,-4.012978404458004
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Grb10,-1.14030137703334,0.264122563554164,-4.31731905706531,2.3293504222613e-5,0.011556166261551893,-4.632765172261133
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Heg1,-0.468915450386862,0.105750320158144,-4.43417523167425,1.12461359973098e-5,0.006276749653498532,-4.948996668957144
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Hivep1,1.19770318319092,0.284112088300886,4.21560092832976,3.89212499649287e-5,0.014481948424450554,4.409813220712162
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Kiz,1.30992138230833,0.359582875724498,3.64289144656587,3.7227203970631e-4,0.07555430260403065,3.429139581179576
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Lama2,0.286995579746767,0.0726607537578484,3.94980185181147,8.680761292278e-5,0.024075236034873,4.061442186051927
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Mpp7,3.02874608562463,0.310165438657076,9.7649373790265,8.751068943346599e-20,3.9073522832042563e-16,19.05793889465283
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Nrg4,-2.76243635037366,0.719302756726687,-3.84043620650727,2.3746961322675e-4,0.05049056300273518,-3.6243919551012014
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Pakap,0.57942347741018,0.107434960942426,5.39324883005905,1.04023833628046e-7,1.548221390497418e-4,6.982867145054297
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Rhoj,0.580975995428355,0.129105526152764,4.5000087350321,8.43160216648032e-6,0.005378157667619233,5.074089893234277
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Sgce,1.65381076395199,0.417704602809252,3.95928307428113,1.2950438846023e-4,0.02891185472374635,3.887715514580647
Fibroblast,F1_Aged,Fibroblast__F1_Aged,Sorbs1,0.357843672952073,0.0875389675985305,4.08782148989018,5.5082813125556e-5,0.018918827738892887,4.258983888064567
